Authors,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Document Type,Publication Stage,Open Access,Source,EID
"Rigaki, M., Catania, C.A., García, S.","57200796111;36979424100;55712953900;","Building adaptative and transparent cyber agents with local language models",2026,"Expert Systems with Applications","299",,,"","",0,,"10.1016/j.eswa.2025.129987","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105020814407&doi=10.1016%2fj.eswa.2025.129987&partnerID=40&md5=d7fd926212150fc3fdcbb10d35f9be65",Article,"Final","",Scopus,2-s2.0-105020814407
"Lestingi, L., Bersani, M.M., Camilli, M., Mirandola, R., Rossi, M., Scandurra, P.","57219181705;35730853100;55320192900;56240209400;7403708768;55912922200;","Proactive self-adaptation and assurance of explainable Human–Machine Teaming",2026,"Journal of Systems and Software","232",,"112657","","",0,,"10.1016/j.jss.2025.112657","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105018914817&doi=10.1016%2fj.jss.2025.112657&partnerID=40&md5=9dcb6be4630d9c9385b7bcd6cde045f1",Article,"Final","All Open Access, Green",Scopus,2-s2.0-105018914817
"Patel, K., Shah, M., Qureshi, K.M., Qureshi, M.R.N.","57667914100;57772416900;57720086100;22986225600;","A systematic review of generative AI: importance of industry and startup-centered perspectives, agentic AI, ethical considerations & challenges, and future directions",2026,"Artificial Intelligence Review","59","1","7","","",0,,"10.1007/s10462-025-11435-z","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105021487123&doi=10.1007%2fs10462-025-11435-z&partnerID=40&md5=302cb10ea8a97963e9e6169fc048dd79",Article,"Final","All Open Access, Hybrid Gold",Scopus,2-s2.0-105021487123
"Vaidhyanathan, K., Taibi, D.","57209110229;55920884000;","Agentic AI Frameworks Under the Microscope: What Works, What Doesn’t",2026,"IEEE Software","43","1",,"133","138",0,,"10.1109/MS.2025.3622209","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105026858981&doi=10.1109%2fMS.2025.3622209&partnerID=40&md5=93800c349b9cd5809a5532a3e586159d",Review,"Final","All Open Access, Hybrid Gold",Scopus,2-s2.0-105026858981
"Devanbu, P.T., Baudry, B., Voas, J.","35583833100;57203847520;57203071719;","Promises and Perils of LLM- and Agent-Generated Code",2026,"Computer","59","1",,"184","186",0,,"10.1109/MC.2025.3627694","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105026753138&doi=10.1109%2fMC.2025.3627694&partnerID=40&md5=1ddd824057f2c82fe3d355403b6f74a3",Article,"Final","",Scopus,2-s2.0-105026753138
"Khadem, E.A., Movaghar, A.","54418884000;6603397985;","From challenges to metrics: An LLM-driven DevOps recommendation system grounded in evidence-based mappings",2025,"Array","28",,"100547","","",0,,"10.1016/j.array.2025.100547","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105019272672&doi=10.1016%2fj.array.2025.100547&partnerID=40&md5=d56df9a79d09dd059abb7312abad1d12",Review,"Final","All Open Access, Gold, Green",Scopus,2-s2.0-105019272672
"Sheng, Z., Chen, Z., Gu, S., Huang, H., Gu, G., Huang, J.","59637880200;58953990200;59636142800;57218365315;14025549700;57013582200;","LLMs in Software Security: A Survey of Vulnerability Detection Techniques and Insights",2025,"ACM Computing Surveys","58","5","134","","",0,2,"10.1145/3769082","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105025576701&doi=10.1145%2f3769082&partnerID=40&md5=bc9a2112816903e2a57aed6139bf4f36",Article,"Final","All Open Access, Hybrid Gold",Scopus,2-s2.0-105025576701
"Wang, Y., Zhong, W., Huang, Y., Shi, E., Yang, M., Chen, J., Li, H., Ma, Y., Wang, Q., Zheng, Z.","57222817085;57211975950;57944072900;57226182242;56349712700;57184505400;57211503963;57832420700;57208587889;25224189400;","Agents in software engineering: survey, landscape, and vision",2025,"Automated Software Engineering","32","2","70","","",0,,"10.1007/s10515-025-00544-2","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105012856499&doi=10.1007%2fs10515-025-00544-2&partnerID=40&md5=b2efd2eb3819480e8a12b2c33e43b697",Article,"Final","",Scopus,2-s2.0-105012856499
"Roque, G., Nascimento, J., Souza, R., Alves, C., Araújo, J.","57444838900;57801970100;55695071600;24477033800;12802236400;","Trust requirements in sociotechnical systems: A systematic literature review",2025,"Information and Software Technology","186",,"107796","","",0,,"10.1016/j.infsof.2025.107796","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105007870193&doi=10.1016%2fj.infsof.2025.107796&partnerID=40&md5=b0ff0f3c3f2e66966c8cfce885e71941",Review,"Final","",Scopus,2-s2.0-105007870193
"Piccialli, F., Chiaro, D., Sarwar, S., Cerciello, D., Qi, P., Mele, V.","42762051900;57870076700;57267073900;59389642400;57216837345;55754144300;","AgentAI: A comprehensive survey on autonomous agents in distributed AI for industry 4.0",2025,"Expert Systems with Applications","291",,"128404","","",0,12,"10.1016/j.eswa.2025.128404","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105007659883&doi=10.1016%2fj.eswa.2025.128404&partnerID=40&md5=a72ca1b90b38f2438ae12234fdd4605a",Review,"Final","All Open Access, Hybrid Gold",Scopus,2-s2.0-105007659883
