Authors,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Document Type,Publication Stage,Open Access,Source,EID
"Nguyen, D.S.H., Nguyen, M.T., Nguyen, P.T., Di Rocco, J., Di Ruscio, D.","59723940600;57215635601;57209915714;55877197500;57201633392;","Automated summarization of software documents: an LLM-based multi-agent approach",2026,"Automated Software Engineering","33","2","43","","",0,,"10.1007/s10515-025-00588-4","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105027165929&doi=10.1007%2fs10515-025-00588-4&partnerID=40&md5=7b04ab997e321bda5c66a480077b6c05",Article,"Final","",Scopus,2-s2.0-105027165929
"Zhao, X., Wang, H., Ding, J., Hu, Z., Tian, Q., Wang, Y.","59586649600;59741223600;59908767000;59741223800;59741223700;60151568000;","Augmenting software quality assurance with AI and automation using PyTest-BDD",2026,"Automated Software Engineering","33","1","23","","",0,1,"10.1007/s10515-025-00566-w","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105019502407&doi=10.1007%2fs10515-025-00566-w&partnerID=40&md5=2b5a9b223eeb334ea3dbf617b7cdd237",Article,"Final","",Scopus,2-s2.0-105019502407
"Autili, M., De Sanctis, M., Inverardi, P., Memon, M.A., Pelliccione, P., Pettinari, S.","21741922600;56358489900;57192813016;58084899800;8852257900;57385715900;","A reference architecture for ethical-aware autonomous systems",2026,"Journal of Systems and Software","235",,"112749","","",0,,"10.1016/j.jss.2025.112749","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105027060015&doi=10.1016%2fj.jss.2025.112749&partnerID=40&md5=a11181854109387180d3ff93daac3e3f",Article,"Final","All Open Access, Hybrid Gold",Scopus,2-s2.0-105027060015
"Geng, T., Qu, Y., Wong, W.E.","60228810600;57203360707;7403972316;","A white-box prompt injection attack on embodied AI agents driven by large language models the",2026,"Journal of Systems and Software","235",,"112782","","",0,,"10.1016/j.jss.2026.112782","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105027627615&doi=10.1016%2fj.jss.2026.112782&partnerID=40&md5=8ede64f474c078f1d0c25f2901ce63b5",Article,"Final","",Scopus,2-s2.0-105027627615
"Siddik, M.S., Li, H., Bezemer, C.-P.","56297475300;59399365100;35742992600;","A systematic literature review of software engineering research on Jupyter notebook",2026,"Journal of Systems and Software","235",,"112758","","",0,,"10.1016/j.jss.2025.112758","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105027293886&doi=10.1016%2fj.jss.2025.112758&partnerID=40&md5=c31ab7549791acf93f5e57629f992f56",Article,"Final","All Open Access, Hybrid Gold, Green",Scopus,2-s2.0-105027293886
"Improta, C., Liguori, P., Natella, R., Cukic, B., Cotroneo, D.","57573504000;57205390161;35325350600;6603905626;6603263234;","Reading between the Lines: Context-Aware AI-based generation of software exploits",2026,"Empirical Software Engineering","31","3","60","","",0,,"10.1007/s10664-025-10796-x","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105027457830&doi=10.1007%2fs10664-025-10796-x&partnerID=40&md5=1792ac0807d4ba6c82ba755e9424e669",Article,"Final","",Scopus,2-s2.0-105027457830
"Tan, T., Chen, X.","60227569500;57044034800;","DeepDesc: integrating retrieval-augmented generation with large language models for smart contract vulnerability detection",2026,"Empirical Software Engineering","31","2","32","","",0,,"10.1007/s10664-025-10770-7","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105024065750&doi=10.1007%2fs10664-025-10770-7&partnerID=40&md5=b84f33bf2f463fc5509115d84052f841",Article,"Final","",Scopus,2-s2.0-105024065750
"Kim, D.-K.","56109731300;","Artifact validity under varying agent configurations in LLM-assisted software development: A comparative analysis",2026,"Information and Software Technology","192",,"108022","","",0,,"10.1016/j.infsof.2026.108022","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105027146675&doi=10.1016%2fj.infsof.2026.108022&partnerID=40&md5=85c1088c085f8dc9d840d07fa6976520",Article,"Final","",Scopus,2-s2.0-105027146675
"Ye, P.-G., Zhang, Z., Mo, K., Peng, Y.","57219507445;59056126800;57219608352;58733931900;","TransLock: Securing LLM deployment for software applications via self-locking watermarks",2026,"Empirical Software Engineering","31","2","25","","",0,,"10.1007/s10664-025-10750-x","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105024068447&doi=10.1007%2fs10664-025-10750-x&partnerID=40&md5=fe73c46b3fe54b141061b82206505a5e",Article,"Final","",Scopus,2-s2.0-105024068447
"Fang, W., Xu, Y., Zhang, T., Wang, Y., Zheng, L.","57189381299;60286097400;58172454800;59116020900;59656321800;","Towards large language model for cognitive industrial mixed reality: A survey",2026,"Advanced Engineering Informatics","71",,"104276","","",0,,"10.1016/j.aei.2025.104276","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105026753642&doi=10.1016%2fj.aei.2025.104276&partnerID=40&md5=950854e0636b348eaa70cd1b71cdff35",Review,"Final","",Scopus,2-s2.0-105026753642
